date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:03	114571/114571	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.svg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.svg	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:04	17919/17919	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.eot	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:05	17919/17919	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.eot?	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfontd41d.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:05	47840/47840	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.ttf	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_book-webfont.ttf	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:06	20496/20496	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.woff	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.woff	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:13	17908/17908	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.eot	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:13	48048/48048	---M--	200	added ('OK')	font/ttf	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.ttf	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.ttf	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:14	117992/117992	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.svg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_light-webfont.svg	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:14	20512/20512	---M--	200	added ('OK')	font/woff	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.woff	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.woff	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:15	17908/17908	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.eot?	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfontd41d.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:18	113755/113755	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.svg	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_regular-webfont.svg	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:20	17565/17565	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.eot	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
09:20:20	17565/17565	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2026%20Feb%202018%2007:00:30%20GMT	http://demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfont.eot?	C:/My%20Web%20Sites/LogoMart/demo.highhay.com/simpleux/fonts/bebas/bebasneue_thin-webfontd41d.eot	(from http://demo.highhay.com/simpleux/fonts/bebas/stylesheet.css)
